id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2.0,Сербин_ГМ,csu9UnmX
1,Папандина Клавдия Яковлевна,304,9в,5.0,Папандина_КЯ,1gThvTUN
2,Белагина Галина Андреевна,396,9а,4.0,Белагина_ГА,Wd1tz22K
3,Кижняева Анна Леонидовна,178,7и,2.0,Кижняева_АЛ,Pbk2aLo5
4,Цывин Олег Яковлевич,446,7т,2.0,Цывин_ОЯ,WWy9gOyr
5,Жидняева Ксения Эдуардовна,373,7х,4.0,Жидняева_КЭ,igeCXDDO
6,Липковский Анатолий Иванович,144,10а,2.0,Липковский_АИ,61kSTvP1
7,Меднова Наталья Богдановна,290,7и,5.0,Меднова_НБ,K7MzMUNq
8,Житихин Вячеслав Романович,141,9а,5.0,Житихин_ВР,R3OitTzz
9,Шеврина Полина Максимовна,33,11а,5.0,Шеврина_ПМ,DsBUmj7t
10,Алпеев Валентин Данилович,323,8а,2.0,Алпеев_ВД,BjXq6as2
11,Золикова Клара Игоревна,364,10х,2.0,Золикова_КИ,040nqUvw
12,Дориков Дмитрий Петрович,296,10г,5.0,Дориков_ДП,VPfOPP9P
13,Корабышев Кирилл Михаилович,302,8и,5.0,Корабышев_КМ,9Z0pCf9b
14,Ростовиков Константин Николаевич,336,10а,2.0,Ростовиков_КН,mnvcZWVC
15,Нехаев Дмитрий Фёдорович,129,7х,4.0,Нехаев_ДФ,v1xef6XH
16,Зызлова Мария Николаевна,430,8г,3.0,Зызлова_МН,Z90NewM7
17,Королупов Валерий Тимофеевич,397,10д,5.0,Королупов_ВТ,hJYaYarQ
18,Стенцов Евгений Яковлевич,315,8и,4.0,Стенцов_ЕЯ,mRV5Q2BQ
19,Феклисов Константин Виталиевич,270,9т,3.481,Феклисов_КВ,OJyk6eiR
20,Синелев Руслан Тимофеевич,300,8и,2.0,Синелев_РТ,dZqRTnbu
21,Опевалова Вера Евгеньевна,473,9д,5.0,Опевалова_ВЕ,h9AJeu4X
22,Назерова Вероника Василевна,206,7б,5.0,Назерова_ВВ,V4N2RhVi
23,Дименская Светлана Дмитриевна,387,9д,5.0,Дименская_СД,32lF6MrW
24,Ковторева Раиса Василевна,482,9и,2.0,Ковторева_РВ,nhG8Xmn0
25,Кулишнин Вячеслав Яковлевич,386,11х,5.0,Кулишнин_ВЯ,rCNZpnDa
26,Лексин Кирилл Антонович,139,7в,5.0,Лексин_КА,dHyCCG96
27,Лаковский Григорий Василиевич,240,7д,5.0,Лаковский_ГВ,l3EdsCaS
28,Барамыкова Александра Алексеевна,106,10а,3.0,Барамыкова_АА,E91jTI2y
29,Плясулина Оксана Андреевна,346,8х,2.0,Плясулина_ОА,PB1Lg0uW
30,Петрикеев Станислав Яковлевич,14,7и,4.0,Петрикеев_СЯ,RFZqeo1z
31,Моторыгин Илья Георгиевич,238,10и,5.0,Моторыгин_ИГ,7PRuvHZZ
32,Рыков Тарас Павлович,174,10и,5.0,Рыков_ТП,Ah7Hbk5G
33,Иончикова Елизавета Егоровна,169,8д,5.0,Иончикова_ЕЕ,lONqvmwQ
34,Смолькина Алиса Егоровна,441,7г,5.0,Смолькина_АЕ,Y3NPpywa
35,Оболенин Герасим Павлович,472,7и,4.0,Оболенин_ГП,NDhpgB8a
36,Трощинский Георгий Борисович,67,9д,3.0,Трощинский_ГБ,2BJ5Krnc
37,Поддубская Лиза Игоревна,496,10а,4.0,Поддубская_ЛИ,hLZkcaLo
38,Телькова Валерия Олеговна,335,7х,4.0,Телькова_ВО,wSnfiV1R
39,Чигварина Александра Алексеевна,428,10б,2.0,Чигварина_АА,YAYGUIDY
40,Киреевский Артур Игоревич,119,7в,3.0,Киреевский_АИ,TpyzUpSN
41,Шумейкин Роман Павлович,420,8в,5.0,Шумейкин_РП,gNSUldAJ
42,Трушинов Максим Алексиевич,82,8и,4.0,Трушинов_МА,XfCkHXUr
43,Голюков Денис Сергеевич,62,11б,4.0,Голюков_ДС,UHIY6NEI
44,Хлиманкова Надежда Валерьевна,461,10б,3.0,Хлиманкова_НВ,aaQySBgA
45,Кулаженков Алексей Олегович,367,10в,2.0,Кулаженков_АО,jHpnneJ9
46,Бутукин Владимир Адамович,221,7х,5.0,Бутукин_ВА,ytjUOLaP
47,Поддуев Леонид Олегович,149,9х,4.0,Поддуев_ЛО,m0ZIUnG7
48,Ревцев Василий Павлович,360,9х,5.0,Ревцев_ВП,43kdt0B5
49,Старокожев Артём Юрьевич,46,8д,3.0,Старокожев_АЮ,UiT0C5R5
50,Светошев Максим Михаилович,321,10х,2.0,Светошев_ММ,1nkWFS4x
51,Старынина Кристина Федоровна,266,9д,3.0,Старынина_КФ,aajOJ9Zx
52,Востров Дмитрий Денисович,282,9г,3.0,Востров_ДД,mgXoMvvo
53,Бураханова Анастасия Леонидовна,16,8г,2.0,Бураханова_АЛ,TpJb88TL
54,Понизов Виктор Кириллович,214,11и,5.0,Понизов_ВК,WE9fDHy2
55,Суздалев Валерий Алексеевич,66,11т,5.0,Суздалев_ВА,canatp8n
